ProductId,ProductName,ProductType,Color,OrderQuantity,Size,Category,Country,Date,PurchasePrice,SellingPrice
6,Bike Pump,Accessory,Red,32,Large,Hydration,Spain,4/3/2019,52.5,200.63
6,Bike Pump,Accessory,Blue,59,Small,Hydration,Italy,3/3/2018,58.69,241.03
5,Cycling Gloves,Accessory,Blue,63,Medium,Hydration,Switzerland,8/23/2021,52.65,179.68
5,Cycling Gloves,Accessory,Yellow,42,Medium,Hydration,Spain,7/9/2022,130.94,126.79
3,Bike Lights,Accessory,Yellow,34,Small,Hydration,Italy,7/29/2018,71.53,334.96
3,Bike Lights,Accessory,Red,47,Medium,Hydration,Sweden,2/3/2022,110.37,346.96
1,Bike Lock,Accessory,Blue,60,Large,Hydration,Netherlands,12/19/2022,79.32,297.88
1,Bike Lock,Accessory,Red,27,Medium,Hydration,Germany,6/13/2018,116.13,337.59
3,Bike Lights,Accessory,Blue,54,Large,Hydration,Netherlands,1/29/2020,113.57,225.33
3,Bike Lights,Accessory,Blue,69,Small,Hydration,Spain,6/1/2021,143.67,303.21
4,Water Bottle,Accessory,Green,49,Small,Hydration,Germany,11/10/2021,76.99,379.48
2,Bike Bell,Accessory,Green,27,Small,Hydration,Germany,5/16/2018,130.5,235.32
6,Bike Pump,Accessory,Green,56,Small,Hydration,Spain,7/28/2020,89.56,376.5
2,Bike Bell,Accessory,Green,60,Small,Hydration,Switzerland,5/27/2020,103.9,330.43
2,Bike Bell,Accessory,Blue,57,Large,Hydration,Italy,10/30/2022,99.35,332.84
2,Bike Bell,Accessory,Green,68,Large,Hydration,Sweden,2/21/2020,92.22,142.47
7,Cycling Jacket,Accessory,Green,25,Small,Hydration,United Kingdom,12/18/2022,118.03,156.5
3,Bike Lights,Accessory,Blue,52,Large,Hydration,United Kingdom,1/18/2022,65.82,125.89
1,Bike Lock,Accessory,Blue,65,Medium,Hydration,Germany,6/1/2021,79.84,300.71
7,Cycling Jacket,Accessory,Green,35,Medium,Hydration,France,12/22/2020,103.94,339.12
1,Bike Lock,Accessory,Blue,32,Small,Hydration,United Kingdom,8/31/2022,142.91,366.65
2,Bike Bell,Accessory,Blue,61,Small,Hydration,Italy,9/22/2020,144.69,148.55
6,Bike Pump,Accessory,Blue,55,Large,Hydration,Switzerland,12/16/2020,144.68,170.41
7,Cycling Jacket,Accessory,Yellow,69,Large,Hydration,Netherlands,10/7/2021,70.12,210.72
4,Water Bottle,Accessory,Blue,32,Small,Hydration,Germany,2/13/2018,74.79,142.61
1,Bike Lock,Accessory,Red,70,Large,Hydration,Netherlands,3/6/2018,113.11,187.96
2,Bike Bell,Accessory,Blue,42,Medium,Hydration,Sweden,9/28/2018,116.9,183.92
7,Cycling Jacket,Accessory,Yellow,51,Medium,Hydration,Netherlands,6/1/2020,69.04,151.66
4,Water Bottle,Accessory,Yellow,28,Large,Hydration,France,7/21/2018,117.34,395.65
3,Bike Lights,Accessory,Yellow,31,Small,Hydration,Spain,7/7/2020,74.87,177.31
3,Bike Lights,Accessory,Red,54,Large,Hydration,Italy,6/26/2020,74.98,378.9
5,Cycling Gloves,Accessory,Blue,25,Medium,Hydration,Germany,10/5/2022,146.9,379.75
4,Water Bottle,Accessory,Yellow,55,Small,Hydration,Spain,5/1/2018,71.37,235.29
4,Water Bottle,Accessory,Yellow,41,Small,Hydration,Switzerland,8/8/2019,142.65,340.91
2,Bike Bell,Accessory,Green,43,Small,Hydration,France,2/15/2022,71.77,141.08
1,Bike Lock,Accessory,Red,62,Large,Hydration,Spain,12/23/2020,97.68,377.83
1,Bike Lock,Accessory,Yellow,36,Small,Hydration,Germany,11/1/2022,56.85,143.69
5,Cycling Gloves,Accessory,Green,40,Medium,Hydration,Switzerland,6/17/2018,107.89,135.93
2,Bike Bell,Accessory,Green,67,Medium,Hydration,Spain,3/21/2020,121.62,190.64
3,Bike Lights,Accessory,Red,29,Large,Hydration,Italy,2/27/2021,50.93,295.82
2,Bike Bell,Accessory,Blue,57,Medium,Hydration,Italy,12/10/2022,76.52,381.65
3,Bike Lights,Accessory,Green,35,Large,Hydration,France,9/12/2019,93.82,274.38
1,Bike Lock,Accessory,Green,33,Medium,Hydration,Spain,3/1/2022,76.45,369.67
5,Cycling Gloves,Accessory,Yellow,38,Medium,Hydration,United Kingdom,7/22/2021,121.76,180.99
7,Cycling Jacket,Accessory,Red,28,Medium,Hydration,France,7/21/2019,59.23,241.48
7,Cycling Jacket,Accessory,Yellow,33,Large,Hydration,Sweden,2/27/2022,113.71,197.04
1,Bike Lock,Accessory,Green,32,Large,Hydration,France,11/2/2018,57.52,367.85
5,Cycling Gloves,Accessory,Green,34,Small,Hydration,France,1/17/2020,92.98,136.5
6,Bike Pump,Accessory,Blue,40,Small,Hydration,Switzerland,2/20/2021,116.69,222.26
7,Cycling Jacket,Accessory,Red,35,Small,Hydration,Switzerland,12/11/2022,147.62,347.96
6,Bike Pump,Accessory,Green,46,Small,Hydration,Germany,10/3/2021,128.24,238.22
7,Cycling Jacket,Accessory,Blue,69,Small,Hydration,Sweden,10/25/2022,60.81,364.85
7,Cycling Jacket,Accessory,Blue,54,Small,Hydration,Germany,11/20/2022,84.97,350.65
6,Bike Pump,Accessory,Green,37,Large,Hydration,United Kingdom,5/23/2018,89.85,201.62
5,Cycling Gloves,Accessory,Red,50,Medium,Hydration,France,11/10/2019,117.95,357.01
2,Bike Bell,Accessory,Green,62,Large,Hydration,Switzerland,8/11/2018,146.25,198
7,Cycling Jacket,Accessory,Blue,45,Medium,Hydration,Switzerland,8/25/2018,93.64,395.66
1,Bike Lock,Accessory,Green,70,Medium,Hydration,Germany,7/10/2022,93.61,267.98
1,Bike Lock,Accessory,Green,67,Large,Hydration,Italy,9/20/2021,142.08,296.37
3,Bike Lights,Accessory,Blue,67,Medium,Hydration,Spain,8/29/2019,90.84,235.66
6,Bike Pump,Accessory,Yellow,49,Large,Hydration,United Kingdom,6/14/2021,117.73,373.27
7,Cycling Jacket,Accessory,Yellow,25,Medium,Hydration,Netherlands,5/29/2022,80.39,182.8
4,Water Bottle,Accessory,Red,68,Medium,Hydration,Spain,6/19/2022,71.37,255.13
5,Cycling Gloves,Accessory,Green,67,Small,Hydration,Germany,8/4/2022,113.29,217.18
7,Cycling Jacket,Accessory,Yellow,37,Medium,Hydration,Italy,8/31/2020,64.74,137.71
6,Bike Pump,Accessory,Blue,61,Small,Hydration,Switzerland,10/9/2020,69.44,316.5
6,Bike Pump,Accessory,Yellow,69,Small,Hydration,Italy,4/27/2022,50.55,331.52
2,Bike Bell,Accessory,Yellow,69,Small,Hydration,Italy,5/26/2019,101.8,138.81
7,Cycling Jacket,Accessory,Yellow,54,Large,Hydration,Netherlands,5/4/2021,116.76,396.67
7,Cycling Jacket,Accessory,Yellow,57,Medium,Hydration,Spain,7/2/2020,92.67,374.39
3,Bike Lights,Accessory,Blue,40,Medium,Hydration,Sweden,5/12/2022,133.99,201.26
4,Water Bottle,Accessory,Red,29,Small,Hydration,Netherlands,11/19/2019,121.35,189.49
2,Bike Bell,Accessory,Yellow,39,Medium,Hydration,Italy,3/15/2019,88.3,167.02
3,Bike Lights,Accessory,Yellow,59,Large,Hydration,Switzerland,9/2/2022,96.59,142.12
6,Bike Pump,Accessory,Red,26,Medium,Hydration,Sweden,2/19/2020,135.67,335.54
3,Bike Lights,Accessory,Yellow,49,Small,Hydration,Germany,5/8/2020,135.34,387.19
3,Bike Lights,Accessory,Blue,52,Medium,Hydration,Switzerland,10/1/2021,98.56,231.94
2,Bike Bell,Accessory,Red,64,Large,Hydration,France,4/27/2021,103.41,374.41
4,Water Bottle,Accessory,Green,33,Small,Hydration,Switzerland,6/17/2019,136.69,174.98
4,Water Bottle,Accessory,Green,45,Small,Hydration,Switzerland,7/24/2019,83.75,366.9
4,Water Bottle,Accessory,Red,26,Large,Hydration,Germany,12/18/2019,124.9,139.32
1,Bike Lock,Accessory,Blue,26,Small,Hydration,Spain,2/11/2018,144.96,179.82
4,Water Bottle,Accessory,Green,67,Small,Hydration,United Kingdom,8/10/2020,61.44,385.63
5,Cycling Gloves,Accessory,Green,63,Small,Hydration,Spain,5/12/2022,146.37,322.55
5,Cycling Gloves,Accessory,Blue,26,Small,Hydration,Switzerland,2/8/2020,142.89,283.34
5,Cycling Gloves,Accessory,Red,69,Large,Hydration,United Kingdom,11/28/2021,133.06,191.78
7,Cycling Jacket,Accessory,Green,27,Small,Hydration,Italy,1/29/2020,84.72,242.8
7,Cycling Jacket,Accessory,Blue,51,Medium,Hydration,Sweden,1/12/2020,132.23,154.02
2,Bike Bell,Accessory,Yellow,58,Medium,Hydration,Sweden,7/14/2022,146.55,199.27
7,Cycling Jacket,Accessory,Green,62,Medium,Hydration,Italy,8/29/2022,76.84,359.22
2,Bike Bell,Accessory,Yellow,54,Medium,Hydration,France,11/20/2019,106.98,308.75
2,Bike Bell,Accessory,Green,56,Large,Hydration,United Kingdom,11/29/2019,71.21,344.4
1,Bike Lock,Accessory,Yellow,58,Large,Hydration,Switzerland,1/14/2022,144.81,148.54
7,Cycling Jacket,Accessory,Red,40,Small,Hydration,Sweden,10/2/2020,119.06,302.62
3,Bike Lights,Accessory,Yellow,39,Large,Hydration,Netherlands,9/21/2021,90.44,191.91
5,Cycling Gloves,Accessory,Yellow,47,Medium,Hydration,Netherlands,11/9/2019,92.55,330.13
3,Bike Lights,Accessory,Blue,41,Small,Hydration,Italy,10/9/2019,73.05,323.35
2,Bike Bell,Accessory,Red,55,Small,Hydration,United Kingdom,4/6/2022,77.65,287.14
3,Bike Lights,Accessory,Green,39,Small,Hydration,Spain,12/21/2021,86.09,208.12
1,Bike Lock,Accessory,Red,60,Small,Hydration,Sweden,7/30/2021,79.21,384.62
5,Cycling Gloves,Accessory,Green,43,Medium,Hydration,France,1/13/2019,96.94,246.13
1,Bike Lock,Accessory,Blue,29,Small,Hydration,France,7/13/2021,90.07,145.37
7,Cycling Jacket,Accessory,Yellow,61,Large,Hydration,Italy,5/24/2019,144.91,148.42
5,Cycling Gloves,Accessory,Green,64,Large,Hydration,Sweden,7/11/2020,72.57,268.71
4,Water Bottle,Accessory,Blue,44,Large,Hydration,Italy,2/24/2022,106.86,141.56
2,Bike Bell,Accessory,Blue,41,Small,Hydration,Italy,12/22/2018,116.04,168.19
4,Water Bottle,Accessory,Green,53,Large,Hydration,Germany,3/8/2018,118.94,254.23
3,Bike Lights,Accessory,Blue,69,Medium,Hydration,United Kingdom,4/24/2019,135.96,144.57
1,Bike Lock,Accessory,Red,59,Small,Hydration,Spain,6/29/2019,72.48,165.97
2,Bike Bell,Accessory,Red,44,Medium,Hydration,Sweden,8/15/2019,109.5,351.67
6,Bike Pump,Accessory,Yellow,44,Small,Hydration,Sweden,10/21/2020,119.97,384.24
5,Cycling Gloves,Accessory,Red,27,Small,Hydration,United Kingdom,5/21/2021,138.94,327
2,Bike Bell,Accessory,Red,68,Small,Hydration,United Kingdom,2/12/2018,133.6,283.18
4,Water Bottle,Accessory,Yellow,58,Small,Hydration,Switzerland,1/7/2019,115.15,376.92
4,Water Bottle,Accessory,Green,47,Medium,Hydration,Spain,8/3/2018,90.83,213.29
6,Bike Pump,Accessory,Yellow,56,Small,Hydration,France,7/25/2022,78.82,384.93
3,Bike Lights,Accessory,Yellow,41,Medium,Hydration,France,4/7/2020,82.33,391.8
1,Bike Lock,Accessory,Red,37,Small,Hydration,Sweden,10/17/2020,101.84,296.22
3,Bike Lights,Accessory,Red,60,Small,Hydration,Sweden,12/9/2022,63.1,204.21
6,Bike Pump,Accessory,Yellow,63,Small,Hydration,France,9/29/2019,129.93,320.19
2,Bike Bell,Accessory,Yellow,32,Large,Hydration,Spain,9/1/2022,96.14,157.3
