timestamp,site_id,temperature_F,energy_kWh
2024-01-01 00:00:00,SITE_A,55.1,40.8
2024-01-01 01:00:00,SITE_A,51.3,49.72
2024-01-01 02:00:00,SITE_A,61.0,64.41
2024-01-01 03:00:00,SITE_A,50.8,51.91
2024-01-01 04:00:00,SITE_A,58.2,53.34
2024-01-01 05:00:00,SITE_A,57.4,61.82
2024-01-01 06:00:00,SITE_A,64.7,64.04
2024-01-01 07:00:00,SITE_A,62.6,61.68
2024-01-01 08:00:00,SITE_A,61.4,57.51
2024-01-01 09:00:00,SITE_A,73.2,68.98
2024-01-01 10:00:00,SITE_A,62.3,56.6
2024-01-01 11:00:00,SITE_A,56.8,38.1
2024-01-01 12:00:00,SITE_A,57.8,48.54
2024-01-01 13:00:00,SITE_A,54.0,42.56
2024-01-01 14:00:00,SITE_A,52.0,41.41
2024-01-01 15:00:00,SITE_A,49.0,25.92
2024-01-01 16:00:00,SITE_A,69.2,0.0
2024-01-01 17:00:00,SITE_A,54.4,37.21
2024-01-01 18:00:00,SITE_A,62.7,44.22
2024-01-01 19:00:00,SITE_A,57.8,30.97
2024-01-01 20:00:00,SITE_A,60.0,35.27
2024-01-01 21:00:00,SITE_A,69.5,39.79
2024-01-01 22:00:00,SITE_A,61.6,46.99
2024-01-01 23:00:00,SITE_A,52.9,40.75
2024-01-02 00:00:00,SITE_A,55.7,46.25
2024-01-02 01:00:00,SITE_A,67.1,51.47
2024-01-02 02:00:00,SITE_A,64.1,52.59
2024-01-02 03:00:00,SITE_A,67.7,51.4
2024-01-02 04:00:00,SITE_A,58.4,50.75
2024-01-02 05:00:00,SITE_A,49.1,46.9
2024-01-02 06:00:00,SITE_A,64.4,61.22
2024-01-02 07:00:00,SITE_A,62.4,61.7
2024-01-02 08:00:00,SITE_A,62.6,65.01
2024-01-02 09:00:00,SITE_A,49.3,44.69
2024-01-02 10:00:00,SITE_A,55.2,53.77
2024-01-02 11:00:00,SITE_A,52.9,51.09
2024-01-02 12:00:00,SITE_A,63.6,58.71
2024-01-02 13:00:00,SITE_A,63.9,52.88
2024-01-02 14:00:00,SITE_A,60.1,45.65
2024-01-02 15:00:00,SITE_A,68.2,43.05
2024-01-02 16:00:00,SITE_A,72.4,50.65
2024-01-02 17:00:00,SITE_A,63.3,40.68
2024-01-02 18:00:00,SITE_A,65.8,50.64
2024-01-02 19:00:00,SITE_A,56.1,38.69
2024-01-02 20:00:00,SITE_A,54.7,37.47
2024-01-02 21:00:00,SITE_A,68.6,55.83
2024-01-02 22:00:00,SITE_A,53.5,38.47
2024-01-02 23:00:00,SITE_A,66.1,52.07
2024-01-03 00:00:00,SITE_A,74.3,71.17
2024-01-03 01:00:00,SITE_A,65.8,58.86
2024-01-03 02:00:00,SITE_A,59.9,60.93
2024-01-03 03:00:00,SITE_A,49.8,56.23
2024-01-03 04:00:00,SITE_A,61.9,57.99
2024-01-03 05:00:00,SITE_A,68.6,72.45
2024-01-03 06:00:00,SITE_A,59.1,58.03
2024-01-03 07:00:00,SITE_A,68.8,78.23
2024-01-03 08:00:00,SITE_A,63.5,69.47
2024-01-03 09:00:00,SITE_A,62.9,63.79
2024-01-03 10:00:00,SITE_A,58.1,59.09
2024-01-03 11:00:00,SITE_A,49.0,40.79
2024-01-03 12:00:00,SITE_A,57.2,56.93
2024-01-03 13:00:00,SITE_A,57.2,41.29
2024-01-03 14:00:00,SITE_A,65.3,51.02
2024-01-03 15:00:00,SITE_A,60.6,40.11
2024-01-03 16:00:00,SITE_A,69.4,51.87
2024-01-03 17:00:00,SITE_A,62.9,51.24
2024-01-03 18:00:00,SITE_A,56.7,40.62
2024-01-03 19:00:00,SITE_A,54.2,38.76
2024-01-03 20:00:00,SITE_A,55.9,38.61
2024-01-03 21:00:00,SITE_A,62.0,45.17
2024-01-03 22:00:00,SITE_A,57.8,42.25
2024-01-03 23:00:00,SITE_A,52.2,50.42
2024-01-04 00:00:00,SITE_A,68.8,61.18
2024-01-04 01:00:00,SITE_A,62.0,53.0
2024-01-04 02:00:00,SITE_A,63.0,58.38
2024-01-04 03:00:00,SITE_A,54.2,67.27
2024-01-04 04:00:00,SITE_A,52.5,53.98
2024-01-04 05:00:00,SITE_A,59.5,67.16
2024-01-04 06:00:00,SITE_A,44.6,43.79
2024-01-04 07:00:00,SITE_A,67.1,69.12
2024-01-04 08:00:00,SITE_A,55.2,51.96
2024-01-04 09:00:00,SITE_A,58.7,53.96
2024-01-04 10:00:00,SITE_A,64.3,63.2
2024-01-04 11:00:00,SITE_A,59.1,48.01
2024-01-04 12:00:00,SITE_A,51.6,38.23
2024-01-04 13:00:00,SITE_A,73.0,60.74
2024-01-04 14:00:00,SITE_A,48.7,35.37
2024-01-04 15:00:00,SITE_A,43.0,31.01
2024-01-04 16:00:00,SITE_A,67.9,37.84
2024-01-04 17:00:00,SITE_A,49.3,0.0
2024-01-04 18:00:00,SITE_A,71.0,48.3
2024-01-04 19:00:00,SITE_A,64.0,42.15
2024-01-04 20:00:00,SITE_A,63.3,48.47
2024-01-04 21:00:00,SITE_A,56.4,36.68
2024-01-04 22:00:00,SITE_A,54.4,40.95
2024-01-04 23:00:00,SITE_A,58.0,46.86
2024-01-05 00:00:00,SITE_A,54.0,45.12
2024-01-05 01:00:00,SITE_A,70.7,64.87
2024-01-05 02:00:00,SITE_A,55.1,46.25
2024-01-05 03:00:00,SITE_A,65.1,64.88
2024-01-05 04:00:00,SITE_A,69.1,73.33
2024-01-05 05:00:00,SITE_A,54.0,50.99
2024-01-05 06:00:00,SITE_A,64.1,66.63
2024-01-05 07:00:00,SITE_A,54.0,56.84
2024-01-05 08:00:00,SITE_A,59.7,62.24
2024-01-05 09:00:00,SITE_A,57.5,55.73
2024-01-05 10:00:00,SITE_A,55.6,59.22
2024-01-05 11:00:00,SITE_A,62.4,65.88
2024-01-05 12:00:00,SITE_A,51.4,47.39
2024-01-05 13:00:00,SITE_A,68.6,55.94
2024-01-05 14:00:00,SITE_A,52.5,40.66
2024-01-05 15:00:00,SITE_A,51.1,31.19
2024-01-05 16:00:00,SITE_A,59.2,34.35
2024-01-05 17:00:00,SITE_A,58.2,34.14
2024-01-05 18:00:00,SITE_A,64.1,44.46
2024-01-05 19:00:00,SITE_A,61.9,41.22
2024-01-05 20:00:00,SITE_A,48.2,42.24
2024-01-05 21:00:00,SITE_A,69.1,37.11
2024-01-05 22:00:00,SITE_A,59.0,45.31
2024-01-05 23:00:00,SITE_A,63.2,52.71
2024-01-06 00:00:00,SITE_A,78.9,63.24
2024-01-06 01:00:00,SITE_A,71.6,57.24
2024-01-06 02:00:00,SITE_A,63.0,54.45
